UID,type,message,,,,,,,
1000,0,Welcome to Tweeria. Just keep writing tweets and look at your hero. We recommend to read <a href=”/help”>help</a>,,,,,,,
1001,0,Guild was created,,,,,,,
1,1,Hero met {monster} but could not kill it,,,,,,,
2,1,{player} avoided death by {monster},,,,,,,
3,1,{player} could not kill {monster} and escaped,,,,,,,
4,1,Luckily {player} ran away from {monster},,,,,,,
5,2,{player} killed {monster} in a hard battle,,,,,,,
6,2,Mighty {player} crushed {monster},,,,,,,
7,2,{player} won a battle vs {monster},,,,,,,
8,2,{player} smashed up  {monster},,,,,,,
9,2,The fight between {player} and {monster} ended with hero`s win,,,,,,,
10,2,{player} broke {monster} completely,,,,,,,
11,2,{monster} was massacred by {player} ,,,,,,,
12,2,{monster} was annihilated by {player} ,,,,,,,
13,2,{player} did unspeakable damage to {monster},,,,,,,
60,2,{player} wiped out {monster} and spat on it`s body,,,,,,,
61,2,{monster} was terminated by {player},,,,,,,
62,2,{monster} was killed by {player} after two-hour battle,,,,,,,
63,2,{player} struck {monster} several times and killed it,,,,,,,
14,3,{player} is level {lvl} now,,,,,,,
15,4,{player} killed {monster} in {dungeon},,,,,,,
16,4,{player} broke {monster} completely in {dungeon},,,,,,,
17,4,{monster} was massacred by {player} in {dungeon},,,,,,,
18,4,{monster} was annihilated by {player} in {dungeon},,,,,,,
19,4,{player} did unspeakable damage to {monster} in {dungeon},,,,,,,
20,5,{player} earned new achv {achv},,,,,,,
21,6,{player} did combo on {monster} with {party},,,,,,,
22,7,{player} received bless by {party},,,,,,,
23,8,{player} did combo on {monster} with {party} in {dungeon},,,,,,,
24,9,{player} found an interesting item: {item},,,,,,,
25,9,Hero obtained loot: {item},,,,,,,
26,9,{player} got {item} from monster`s bag ,,,,,,,
27,9,{item} was picked up by {player} ,,,,,,,
28,10,{player} sold {item} ,,,,,,,
29,10,Vendor bought {item} from {player},,,,,,,
30,10,Hero didn`t need {item} and sold it,,,,,,,
64,10,{player} earned some gold when sold {item},,,,,,,
65,10,{item} was sold by {player},,,,,,,
31,11,Powerful {player} killed {monster} with {party} ,,,,,,,
32,11,With {party}'s assist our hero {player} killed {monster},,,,,,,
33,11,{party} helped {player} to defeat {monster},,,,,,,
34,12,Mighty hero {player} killed {monster} with {party} in {dungeon},,,,,,,
35,12,With {party}'s assist our hero {player} killed {monster} in {dungeon},,,,,,,
36,12,{party} helped {player} to defeat {monster} in {dungeon},,,,,,,
37,13,{player} completed raid run in {dungeon},,,,,,,
71,13,{player} with his friends won a raid battle in {dungeon},,,,,,,
